symbol,date,open,high,low,close,volume
NVDA,2025-02-14,136.48,139.25,135.5,138.85,195479600
NVDA,2025-02-18,141.27,143.44,137.93,139.4,219176600
NVDA,2025-02-19,139.51,141.36,137.22,139.23,167536000
NVDA,2025-02-20,140.03,140.66,136.79,140.11,143903600
NVDA,2025-02-21,140.04,141.46,134.03,134.43,228217600
NVDA,2025-02-24,136.56,138.59,130.08,130.28,251381100
NVDA,2025-02-25,129.98,130.2,124.44,126.63,271428700
NVDA,2025-02-26,129.99,133.73,128.49,131.28,322553800
NVDA,2025-02-27,135,135.01,120.01,120.15,443175800
NVDA,2025-02-28,118.02,125.09,116.4,124.92,389091100
NVDA,2025-03-03,123.51,123.7,112.28,114.06,411381400
NVDA,2025-03-04,110.65,119.31,110.11,115.99,398163300
NVDA,2025-03-05,117.58,118.28,114.51,117.3,284337900
NVDA,2025-03-06,113.53,115.35,110.22,110.57,321181900
NVDA,2025-03-07,111.25,113.48,107.56,112.69,341755500
NVDA,2025-03-10,109.9,111.85,105.46,106.98,366487400
NVDA,2025-03-11,106.99,112.24,104.77,108.76,354865700
NVDA,2025-03-12,114.12,116.76,112.88,115.74,323857500
NVDA,2025-03-13,117.03,117.76,113.79,115.58,299033100
NVDA,2025-03-14,118.61,121.88,118.15,121.67,277593500
NVDA,2025-03-17,122.74,122.89,118.03,119.53,255501500
NVDA,2025-03-18,118,119.02,114.54,115.43,299686900
NVDA,2025-03-19,117.27,120.45,115.68,117.52,273426200
NVDA,2025-03-20,116.55,120.2,116.47,118.53,248829700
NVDA,2025-03-21,116.94,117.99,115.42,117.7,266498500
NVDA,2025-03-24,119.88,122.22,119.34,121.41,228452500
NVDA,2025-03-25,120.55,121.29,118.92,120.69,167447200
NVDA,2025-03-26,118.73,118.84,112.71,113.76,293463300
NVDA,2025-03-27,111.35,114.45,110.66,111.43,236902100
NVDA,2025-03-28,111.49,112.87,109.07,109.67,229872500
NVDA,2025-03-31,105.13,110.96,103.65,108.38,299212700
NVDA,2025-04-01,108.52,110.2,106.47,110.15,222614000
NVDA,2025-04-02,107.29,111.98,106.79,110.42,220601200
NVDA,2025-04-03,103.51,105.63,101.6,101.8,338769400
NVDA,2025-04-04,98.91,100.13,92.11,94.31,532273800
NVDA,2025-04-07,87.46,101.75,86.62,97.64,611041300
NVDA,2025-04-08,103.81,105.85,94.46,96.3,476243400
NVDA,2025-04-09,98.89,115.1,97.53,114.33,612918300
NVDA,2025-04-10,109.37,110.86,99.15,107.57,437812400
NVDA,2025-04-11,108.5,111.55,107.48,110.93,313417300
NVDA,2025-04-14,114.11,114.29,109.07,110.71,264705000
NVDA,2025-04-15,110.97,113.62,110.5,112.2,228966900
NVDA,2025-04-16,104.55,106.79,100.45,104.49,397016900
NVDA,2025-04-17,104.45,104.47,100.05,101.49,292517500
NVDA,2025-04-21,98.77,99.44,95.04,96.91,288501100
NVDA,2025-04-22,98.78,99.81,97.28,98.89,241004800
NVDA,2025-04-23,104.52,104.8,102.02,102.71,247526000
NVDA,2025-04-24,103.48,106.54,103.11,106.43,220815000
NVDA,2025-04-25,106.85,111.92,105.73,111.01,251064700
NVDA,2025-04-28,109.69,110.37,106.02,108.73,207708500
NVDA,2025-04-29,107.67,110.2,107.44,109.02,170444300
NVDA,2025-04-30,104.47,108.92,104.08,108.92,235044600
NVDA,2025-05-01,113.08,114.94,111.3,111.61,236121500
NVDA,2025-05-02,114.18,115.4,113.37,114.5,190194800
NVDA,2025-05-05,112.91,114.67,112.66,113.82,133163200
